originalIdentity,candidateId,exerciseId,courseId,subjectId,community,state,inaccessibleCause,publicationImpediments,sourceRecordIds
"ccss-i-original-inequalities-lamps-feasible","cand-c8081b71-289d-5d4f-b127-29767d958f46","ex-697e7a99-fe4f-50d4-8b53-346f0f61e8ab","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]","[""src-2db5f6af-4700-5ce3-8796-1594f8da144b""]"
"ccss-i-original-inequalities-oil-mixture","cand-53b73a36-31ef-5bff-af2a-360d41b17d47","ex-a386d999-d7b6-57ed-86ed-a9236b8efa19","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]","[""src-ba5b4190-1a26-561d-8214-02ec4dbdf54a""]"
"ccss-i-original-inequalities-pens-feasible","cand-edc41e18-26e3-5721-a04a-78650d7d6c9d","ex-b0fd6e94-d1e3-556d-9fec-77f06f2fb24d","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]","[""src-2c682c8d-f314-5ec1-98c2-a5325e648de5""]"
"ccss-i-original-inequalities-sales-commission","cand-89376f77-31eb-55b0-b65f-4a28979ad71c","ex-2e9b636d-23a1-52a5-8b1a-db7bc209b7f1","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]","[""src-3bc9cbd7-7f50-5cb0-81a5-e6367ae511e3""]"
"ccss-i-original-inequalities-train-feasible","cand-577b5c1d-ba36-54f6-a90d-d73f5b64d282","ex-9c6044b2-c2f9-5803-bf00-1924dbf4a1b5","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]","[""src-8665f936-855f-54e6-baf6-c5ed74ff282f""]"
"ccss-i-original-stat-dataset-range","cand-9b44a663-aab4-597f-98a2-465f772bb2e4","ex-024ddb44-9c23-5675-a8bf-987ce8df247e","1bach-ccss","matematicas-ccss-i","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""CHOICE_DUPLICATED"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""MULTIPLE_CORRECT_EQUIVALENTS"",""UNMAPPED_TOPIC"",""REVIEW_FINDINGS_OPEN"",""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SOLUTION_REVIEW_REQUIRED""]","[""src-59e9101a-8601-5ee3-95f2-bbd9261242d0""]"
"ccss2-algebra-922108cb6e0a-acciones","cand-76713052-f071-52f9-9d62-7193a3bea394","ex-f386e196-1f5a-5db7-a0c3-17adf38ca05a","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","EXACT_DUPLICATE_ACCESSIBLE_ELSEWHERE","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-a0b3df49-9b72-53bc-a257-6c45bffe76a0""]"
"ccss2-analisis-6fb47f3cb8db","cand-591376d7-5257-5dd9-bd86-6d17ded483c7","ex-a0da2490-836a-58cd-a5a8-d9d0f731e019","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-e734be97-2608-59fb-9ff5-73e20ba2cc08""]"
"ccss2-analisis-767a8fb58506","cand-96ab4638-37ec-5763-89fd-9470da9027c5","ex-f3238d3a-9ead-5784-bab5-d0c8fbf16d9d","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-4863ea33-de5e-5199-93d1-9a9b7c6705b5""]"
"ccss2-analisis-9b6c41f5b7e3","cand-6858ab73-0a57-56bd-a121-1c428ce29442","ex-85204d42-e6aa-57da-852c-7812b593dc93","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-6baa7c50-73fa-58c1-8326-d29e2355d5e1""]"
"ccss2-analisis-add54a8ef955","cand-b44617fb-f6bb-50c6-bdc4-1de1d83d2216","ex-fc1665bb-7416-55be-9f90-0003a578a33d","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-cf18a0ec-3d1f-50fd-8620-bfdcfaa61c76""]"
"ccss2-analisis-b62abf6d5c57","cand-8f2c86cc-c939-5be7-ae3b-cfc6661e4eae","ex-6643cb67-b501-53fa-930b-3adb3a1b6ad5","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-79dd838c-29fb-58a9-a930-064af4200396""]"
"ccss2-analisis-c1fefc343cb7","cand-49a076d4-6ba6-5876-99af-fdc8bb839f31","ex-3036a30e-6010-5235-9832-94510a099ef7","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""MATH_REPRESENTATION_UNDECLARED"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-22f84a89-c7e3-5f39-b8e9-e1d1ecab3c41""]"
"ccss2-analisis-d7d531d9b22d-globo-b","cand-b55d672d-78d9-59f7-809b-19608a76d3cf","ex-da4d3005-5c8e-59ac-b377-a96dd1f73dbc","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-7bb76065-2417-52fd-bd89-5e73791da030""]"
"ccss2-analisis-ef3faa073aff","cand-3f9ad5c2-c143-5ae7-b0e4-87356282fa6b","ex-66687076-dba2-5db2-879e-73a1e0ca94eb","2bach-ccss","matematicas-ccss-ii","Castilla-La Mancha","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""ANSWER_MISSING"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""SOLUTION_MISSING"",""UNMAPPED_TOPIC"",""MATH_REPRESENTATION_UNDECLARED"",""PAU_MODALITY_UNDECLARED"",""SOLUTION_REVIEW_REQUIRED""]","[""src-b9e2deee-10c3-5c36-b182-7f8461b0aa07""]"
"ccss2-def-01","cand-ae212a65-17b3-5866-937e-6005c6272549","ex-10d775a2-aa83-564b-85e4-80e768842f66","2bach-ccss","matematicas-ccss-ii","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""COMMUNITY_UNMAPPED"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""PAU_COMMUNITY_MISSING"",""UNMAPPED_TOPIC"",""PAU_DETAIL_INCOMPLETE"",""PAU_MODALITY_UNDECLARED""]","[""src-b6a38095-aecc-5d89-a271-f55b66899013""]"
"ccss2-def-02","cand-c973baca-28dd-512a-bb70-e16606557e24","ex-58ad8723-3962-5f9b-a054-1952f2fff728","2bach-ccss","matematicas-ccss-ii","","BLOCKED","LOADED_NOT_MATERIALIZED_BY_CURRENT_ROUTES","[""COMMUNITY_UNMAPPED"",""MODALITIES_MISSING"",""MODALITY_UNDEMONSTRATED"",""PAU_COMMUNITY_MISSING"",""UNMAPPED_TOPIC"",""PAU_DETAIL_INCOMPLETE"",""PAU_MODALITY_UNDECLARED""]","[""src-0807e8d2-ca15-50dd-a5ee-2dbfa2fb2ce4""]"
