identityKey,candidateId,courseId,reason,sourceFiles,sourceRecordIds
"d1-div3","cand-2d0d3ba5-e23d-59bd-b4e1-3fdff911ac96","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-b1b588cd-6c09-59f2-9dea-25441068b111""]"
"d1-div5","cand-7e1b04eb-1753-5312-bb87-3fcf6cc56d6f","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-7d69e1ed-cb4d-50d2-8db0-300a223d356b""]"
"d1-equivalent","cand-663d51f9-5812-502e-b512-7e965df53c0e","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-7adec883-5331-5acf-8918-f7f85ab4e963""]"
"d1-factor","cand-fa95278a-10dd-51fd-b582-ad9dd3fd3dad","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-4e4e02d5-685a-521a-b017-2a2674b46733""]"
"d1-frac","cand-2c011030-8c98-5e12-b9ef-186d110e5d2c","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-2c47dab2-fe4f-5d51-bed1-2fec216764c8""]"
"d1-intsub","cand-b6c664c2-8c50-5781-b045-3dea3e5319ee","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-df05d1ac-6678-5ed8-a68c-ac82e1f124ab""]"
"d1-intsum","cand-a78c4bc6-7f98-5aab-a049-c572494557b7","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-3fbb6400-15ac-59c2-b334-90a41a30d38e""]"
"d1-mcd","cand-28cdb484-bcf7-50c9-9f83-b3b4151c4959","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-c68a2e62-6466-51d2-90a0-ce5914a267ab""]"
"d1-mcm","cand-9c798d51-9b67-5101-8635-807ef985b262","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-a2d5378e-228f-594a-8da1-c5c47d1e501a""]"
"d1-natural","cand-e0017dd2-d59d-5f82-ade6-500eb13c481a","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-52592c29-bfa3-5557-aa33-08ac889f508a""]"
"d1-order","cand-41717ad5-824f-5f4b-b807-5db1bf9b88a0","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-14699f23-8f2b-54fa-93bb-10cc014ca9ef""]"
"d1-power","cand-33535875-a19f-5107-8545-dd34dc52f27e","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-66d4c30e-1d3d-5be8-a321-914b1c293f61""]"
"d1-prime","cand-7959b187-de99-5641-a6d8-daf27ccb1f85","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-a1a95c0e-15a0-5048-b5db-b4b2aac69c55""]"
"d1-root","cand-d08b5103-b1d0-5cb7-9d1f-54bdfdd78013","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-f84ea742-187c-518b-b15e-b13df5599802""]"
"d1-sign","cand-a9629fb8-8331-5e33-94b0-b8898315551c","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-efb5f242-2a60-5e5d-add3-7fbdce2f271d""]"
"p1-div-4","cand-167ad9d2-6780-5559-986d-f2f8e7cb4510","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-d120229c-957c-5484-97e8-efec304dc84a""]"
"p1-div-9","cand-436b2eca-ba36-516c-8178-4b1cd4f7b2e0","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-74066574-9ffd-59d4-bbaf-ed6b80576219""]"
"p1-factor-24","cand-f394d246-330b-583b-8abd-b7ca4d775355","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-8a4e3796-275b-5a85-a9cd-aa24d5108a55""]"
"p1-factor-36","cand-805fe8e3-627f-5912-ab78-8672d4f48a1f","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-71a29345-d8bb-5185-95b7-1781d3d177f4""]"
"p1-factor-multiple","cand-57347769-3baf-5f35-a262-cb7f58d7086b","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-04b5ab35-d154-5fc7-be11-842401c223d1""]"
"p1-frac-eq","cand-be20c59b-0380-5745-8867-7713b992d734","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-328e511f-41cf-50b4-8654-9b81b3058c70""]"
"p1-frac-sum","cand-f62ec7ec-44e9-51bf-848f-9a4da5ea9197","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-9b518ae6-49bd-554c-b403-1a9313d045cc""]"
"p1-int-product","cand-efec5ec2-f5f6-5539-b044-d2dc83ee3fab","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-80a7b925-f585-57ec-bfdc-84b84178458b""]"
"p1-mcd-45","cand-6b168ec7-33d5-56bd-b6de-1f3f6e678d47","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-ae08ed07-efa4-59aa-b242-b3bf1290526f""]"
"p1-mcm-12","cand-d477ce75-7c5b-5cb6-8614-770b9117f16f","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-74187b85-a22b-5086-b1b0-bb3e83eabf85""]"
"p1-order-a","cand-f5cf9b00-4026-532a-bf36-70fe341db07f","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-0d02b89b-25ec-53c0-8b13-31a94b3263ba""]"
"p1-order-b","cand-1fc88bf5-822b-5cd9-8eed-d5d2670037a8","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-275e2a9f-70f1-52cb-b051-740985343ce6""]"
"p1-power-product","cand-48213385-49fe-5f42-9e33-69cdeacbc57c","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-9142060d-9c83-561b-acc8-57e28c5d6cfd""]"
"p1-prime-31","cand-7be3ea4b-6c92-5944-9d8f-653d1451b324","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-9bd5bc00-0330-54c4-a0e3-7378c05cf313""]"
"p1-prime-37","cand-fb7463a0-2cf8-5172-94b2-72954915189d","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-ae94b40f-7dae-53f4-acf4-4395353e901e""]"
"p1-prime-43","cand-ce758829-6f3c-55fd-8e45-9dd8460fa254","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-c28d14c5-c8d3-575a-85de-ce08d7a022f7""]"
"p1-root-144","cand-8928f791-b3f6-5c27-8fa3-a5bfcbb3fa9f","sin-determinar","AUXILIARY_RECORD","[""data/coach-data.js""]","[""src-04608da8-f53b-5172-a7d8-293b1dfa546a""]"
