candidateId,exerciseId,errors,warnings,diagnosticCodes
"cand-034ef671-bb54-59ac-a294-a9158dc67d19","ex-1e9986c4-0792-50a6-9629-711decd6e55f","0","2","[""MATH_REPRESENTATION_UNDECLARED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-83032aa8-b8b8-5ad5-994c-78374b99be7f","ex-5c33bce5-eea4-521f-b4e6-8f171b0635a7","0","2","[""MATH_REPRESENTATION_UNDECLARED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-886c6bc4-de1d-5512-8b8e-67ec6f6cb7a5","ex-757ba62c-ecbb-5086-8339-2052fb3d0084","0","2","[""MATH_REPRESENTATION_UNDECLARED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-e9a81507-d6e6-5b42-8087-145872a89cbf","ex-f6400082-ddd3-561e-a0fb-898a6ba66c34","0","2","[""MATH_REPRESENTATION_UNDECLARED"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-4df46a0c-8e74-5d7d-a729-44941da02183","ex-a63c02da-9c82-5ff9-8c73-b8a6a7fb40e9","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-6576b03e-a531-547d-a101-b5fdd6c9a364","ex-2f185337-5149-51da-83f6-67a085f371aa","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-43a90e23-c90a-5abb-8145-cd66c8b26540","ex-75c56f26-b580-500b-a3ce-67c0b215825b","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-ee5d8ea2-1326-508f-9c88-f33842038f2c","ex-d28a49f8-73b0-568f-afb4-6bf3514006d7","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-e0c3aa75-32ca-5593-bde4-3f2f391a746f","ex-50a63c16-9d1e-57f3-a00f-63e8a3af81f2","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-ea39f6cf-d575-5c40-acec-c4dcc6ae16b6","ex-c7cfad45-56cb-5cd3-b5de-e9a76eb10dfe","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-24fecb2d-a0ef-508f-9caf-88532649947a","ex-ed0e04d5-ce28-5553-89fc-06eb216d3911","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-afa99deb-c9cc-5240-8aab-5bf0e5870c38","ex-1b39dfdb-72cf-5265-8702-640d68bf7d67","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-f169d88a-04cd-5a57-bd81-26b8072d07c8","ex-784db8ff-a192-5c50-9856-49b883c9240d","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-c3c80d81-fe86-54f0-9f7d-b96769e878d9","ex-e621ec6a-8871-5bcd-a69f-a56b7d28b08f","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-be6ab1aa-b838-5b23-ab4d-a1fcb85572ab","ex-d52266de-9020-5da2-a289-66ced54870d9","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-07861ceb-bfa9-56f6-a3b7-ff6a92ec6e33","ex-653a4465-4c6a-5192-9d7e-21364a988ae9","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-7a9141de-6611-5a00-9689-67e6ac6e7b20","ex-a323efa8-a11d-5302-9701-64ad3ccd61c3","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-65384ad5-7d07-58f1-ae61-311233279bad","ex-86288df3-e000-51e7-a22b-1a66b0af3f75","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-ba711e8d-9f6f-551d-956d-10fef01963cc","ex-9bc0f07e-e6ff-5c54-a1d5-3fe1bc453e5e","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-86eff1b9-902e-524c-b0a3-b2f52abb4aa9","ex-c4f21220-5b25-5462-8ba2-bc4a6d4853c4","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-114ceba8-e751-5ef3-ac79-c878d2ebd6a2","ex-056ca16f-ef5d-514d-9126-075f1c7cee38","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-dbbf088c-56f3-5617-96b1-6f5f57f4a31b","ex-ee876440-4596-5a05-80ea-09115e80389c","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-3dcaa2d9-e20d-5c10-b465-3ef1830f655c","ex-cfe273f7-08bb-5264-bf73-cd063e4fc24a","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-4aad912a-5c00-5a47-8b6f-8753e9b3e49b","ex-bdb607a4-93fb-5cd8-a70c-2479c9876135","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-b84daf5c-2ffc-5432-b08f-c0e51497bd27","ex-91806a7f-9339-5223-9c8d-62479febcb61","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-75a111d8-c912-5483-b52d-ef940e610586","ex-e58b70c5-9021-5b99-bd1e-f3658074e799","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-b22a2e8d-33d8-5b3a-8097-b00fe2da3aa9","ex-a270e3e4-7313-579e-bc27-1bd4a16123e1","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-3b48ea6f-2501-5ec6-a42d-db4221e782d6","ex-08cf9390-ba7e-52a8-8846-454f4471fb35","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-58d85113-c313-56f7-9629-de7f31008c42","ex-124204fe-37ac-52bb-805d-0fad4e60e052","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-d6815025-17f0-5f0f-929a-12e1b5411b09","ex-cf85462b-7589-5a09-9edc-aab1a168983e","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-14246b62-19d5-5861-b450-10a2645d636c","ex-362294cc-9a8a-5627-af01-937330b8e925","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-328cd194-3a0d-5b42-802c-87c0e2643611","ex-ce2f97db-8de8-5414-8b1e-089afe6553af","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-9de6d64d-2960-5bd3-9056-ecdd949405a2","ex-e2b91541-d4d7-5de2-8aab-490121d0cc18","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-3eca20b3-c0c5-5936-b595-6be1792ac8ff","ex-a7940929-bf0e-5447-9420-5bf3dc254aa4","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-46e623cc-7f8c-585e-997c-550a9f38048d","ex-9c045c39-5f78-5c45-afc0-307a07731429","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-cc30ce3d-2098-5faf-bc09-3e0cbe7720a6","ex-0b33c291-447a-57f7-afd9-39f41fa69784","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-bf3afb39-c675-57c3-beb6-5d9271ad3ba1","ex-a8e412d7-7682-5be6-a318-71b562893e2c","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-f4054df6-59db-5d6c-acd4-832a6f04ee14","ex-7a3d2b0f-9154-5dd6-823a-5f278d51dff6","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-1587509f-b102-5d57-b72d-3bf37b1c3f2d","ex-001e7767-288b-5219-b762-669f393c8b63","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-e98f3783-47e6-525b-a252-b5444b8fabd0","ex-4111e7f1-a505-51f7-9d5a-1df90e50f31b","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-10fced43-8f82-595a-934a-293db84f39aa","ex-c7fb9069-d1e1-5e6f-99ba-177314fb6860","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-f1621483-4475-5dbb-a432-d103f8d3a5b4","ex-c2662a29-545e-58fe-9c0a-136811e09c25","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-1fd1b854-ef56-5b35-bd60-7fdc237ab567","ex-d88f0695-8a3b-5870-bcaf-07746ef11541","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-f5570093-2e0e-5d46-bb09-a18031139343","ex-48ebadc8-340f-5a4c-b095-5f26b4fc4a8e","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-e4611120-ee80-549c-b744-cd89da2861c3","ex-f2f7d600-d9ea-514a-be59-0d7acaa62747","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-c97d7259-1452-55ca-9180-8b9b3f401e7c","ex-80f7379c-b0a2-5c7f-a4c3-e321790f980d","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-8b279b13-d275-52e0-9d3d-0a72cd7ccd6d","ex-d7598b12-2990-5572-ae07-13544739c74c","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
"cand-d9aa9b87-c48a-5ae3-a070-8b05af60f1f0","ex-ee14c797-6562-54fa-8dc0-386b607c2f17","0","2","[""SOLUTION_DEVELOPMENT_INSUFFICIENT"",""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-b431ec28-4f68-56ec-8841-83fe80a7b86d","ex-5e6c9c2e-1d16-5706-8548-790a86d8f3a7","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-9b79b2da-108b-581f-9f89-45c92b460618","ex-68956c96-0af0-5c95-a9b3-48eb6f896bf4","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-c8d5d3bc-bbbc-5958-b996-f030a3ad8504","ex-2ebf54fc-2395-58c1-afbb-8f5875fb6548","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-57f3a391-3d93-5177-a90a-e200f428f58a","ex-f3d747a0-252a-50f9-9bd1-fbdd8e8e5744","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-abab59fe-2108-5fd2-92b9-201ba1b387ed","ex-566b1bb3-ac8d-586c-965d-98c29e2c78dc","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-91f05c54-6da5-53f6-a693-d8d18f67061b","ex-f70a86f0-6129-55e6-ab91-07ad87cc8f9f","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-407dd023-ff9d-5519-9ad7-d9002eb0f058","ex-21c67b74-99a9-5c35-a6e5-69d25b546869","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-fbd2d45e-88f8-527c-a6be-5b713922955e","ex-25b14a09-e917-5ea6-9a4b-a0a041c8fe9e","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-09999945-bddf-5937-bc82-dd0a22a94a37","ex-207ab1b2-daa2-5358-aec7-f2a0c1e3fb8b","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-d1a9afe4-16fc-5263-96dc-4964bc729315","ex-a394a904-cffc-500a-ad01-ca6b4c560b09","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-57ffd51b-7dbf-5f90-a2bb-8497c3f16aba","ex-2b804a4a-57d6-57da-a09d-1509794626ec","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-8a0b2f9f-3ec0-5483-add1-e1f45923907a","ex-4c3d8d93-438f-5c8a-b07c-a4fbd39ed0de","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-e5b2dd9a-0433-5406-bdc4-ba92b235e7e7","ex-7ca5bb81-7106-521e-8db3-661852439aca","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-b808366d-828c-5888-b264-5fea453fa7cb","ex-dbc013ef-ea79-583c-94b1-b671addccbd9","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-052a99db-5c83-56f6-a476-a9e909c38998","ex-0cb95d5a-f32f-5592-85fe-ed0e04c0ab07","0","1","[""SYMBOLIC_EQUIVALENCE_NOT_PROVEN""]"
"cand-8ba417d4-6342-53de-88c3-7466ed938664","ex-7e0f994a-f5aa-554c-b6dc-39c851f8329b","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-28038485-6e8b-5e9f-8fa4-55e127bb2e51","ex-fedf41a0-e530-518c-ab26-2395500105b7","0","1","[""SOLUTION_DEVELOPMENT_INSUFFICIENT""]"
"cand-d4e9b534-9f49-5980-a461-830456d4be5e","ex-6d7cf0dd-65ac-5c4a-a22f-c1f78e6ca4d7","0","1","[""MATH_REPRESENTATION_UNDECLARED""]"
