key,occurrences,candidateIds,sourceRecordIds,status
"template:1bach-ccss:topic-0:template-1sjzn5s","3","[""cand-718caa4e-94e8-5ca3-9129-f316eb4faae2"",""cand-983a76a6-3ee9-5981-91c7-3344f6f85197"",""cand-d3b35e6b-6d08-590b-a799-bbb399e1f420""]","[""src-1f73ea19-91a2-5db7-902b-9256481d3534"",""src-1e0c6d7a-c502-510d-ae8e-a8ddfd104722"",""src-bc61c09e-8132-506a-b1fc-2a837adbf9e1""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-0:template-4cvace","3","[""cand-130ddce3-321b-5470-911b-39219dd62bf4"",""cand-2a47109d-fda6-5bbb-806e-7639586581b5"",""cand-3f1f70a2-9fee-5859-a67e-08c5206c53e2""]","[""src-ab3541cb-6ff2-5750-bfaa-0387f2040480"",""src-80e0ed0f-b556-5352-8264-ffeb6939c586"",""src-04697240-ea81-5e1b-b333-5cc18b31db72""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-1:template-1dymd4n","2","[""cand-e5f68656-30a0-5a2c-8ee0-a4827ae91c6a"",""cand-fd8423a7-1d71-5261-af45-c0f22fac9223""]","[""src-e843f98c-aeba-58e9-9b74-9badb15e4f40"",""src-b172ceaa-f8b6-54f2-8453-d41181377a15""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-11:template-1om5127","2","[""cand-67413e2b-0347-52db-baca-7c7f0a2a65f0"",""cand-7e84ccf7-ec4d-5a5f-9f77-4bc6acea6ad4""]","[""src-60a4e8f5-0f41-5847-9ba9-81b1fcfa0271"",""src-22dd8860-2154-543f-8546-8009f3655761""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-11:template-1veke3y","3","[""cand-3a630485-194c-54a7-95c3-0fe8b32feac1"",""cand-42505896-add3-57c0-8b7a-44bf408232d8"",""cand-d4eea943-2d92-5621-ba02-8b1dad77102a""]","[""src-8eaf30ba-64a1-5561-81ac-560392225317"",""src-4f78fcf0-2205-5d06-981e-e1fabca66f50"",""src-dcd12b43-2b98-5163-8fd0-c2fdd9e0061f""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-11:template-87spv9","2","[""cand-0e914741-094d-5751-be3c-99cda6fbf5b8"",""cand-59f04730-0f63-5d35-a264-51d44ea1d687""]","[""src-167a71a3-c76d-5284-bed6-247387691b1f"",""src-7695fd09-42eb-5147-9e4b-8d5499abd8cd""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-2:template-1smj58i","6","[""cand-060e1cc0-9e12-577d-bc71-fc33a41d9512"",""cand-4a61b33d-ea8d-59b9-9f72-95bfc77c3662"",""cand-901e7c26-b884-57a2-bfe9-032d1586dd6a"",""cand-b9f85f19-2e5f-5cd8-9ab8-1c451adc9020"",""cand-f425ede5-feab-5b49-b2f3-eca592456560"",""cand-f853e9d7-ea72-5399-a399-aa9cc4c27695""]","[""src-a76fcaac-02f2-5197-bc6e-3e4da02e7447"",""src-95d3efb4-c019-5146-a43f-3897596f9195"",""src-3fd8365c-d870-5340-acb1-30197bc89bd7"",""src-0129f83c-c85f-5fde-bb84-f9537029c883"",""src-591e4ea0-bd1a-5bda-9d23-2c95333ca8f4"",""src-fa7eae6a-2fcb-5cc5-913c-dad9b5e82943""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-2:template-5w6dnv","13","[""cand-27d71576-7387-5be6-9af3-e6a6700b3e7d"",""cand-55fd08bb-7a66-587d-9b99-ded1267c8bd2"",""cand-66b60e6e-23d3-59ec-a2d3-3fcb12b9f17f"",""cand-6907c9a4-37e2-5086-a8d1-3ce9b77f051b"",""cand-6e91360f-877a-57c7-ae65-7fb06da2690f"",""cand-74a2dc28-329d-5e7f-b5c3-00f80b762122"",""cand-a0ad9167-87b3-577a-8fac-76903ec0f9e7"",""cand-a727594e-73ca-540d-a771-e68027e47fee"",""cand-b3400ec6-ee79-5809-a980-63a6845f4892"",""cand-be1f7a6b-bf95-5956-ac55-efe1fd459e85"",""cand-c1d5203a-ed92-5de0-95fd-741bdcad4af0"",""cand-c303040c-6562-5da5-9fc4-295128f8d9f0"",""cand-ebff8a37-c47f-552d-aaaa-0e8059cabac4""]","[""src-386cf668-dce7-5024-9e39-079c7c2aac57"",""src-d77d8ea3-a2ce-5171-a461-b6eaf1667c77"",""src-34779a14-88bf-5c41-be3b-ba0a90797d2b"",""src-0ad9ce00-19df-5a19-8bd2-c744bc235222"",""src-a4f4d91f-504b-5ecb-a851-68efc2e34d3d"",""src-d2ff2dfb-79c4-59ab-9bab-14c0ccd86bd7"",""src-74bdadab-48b9-5778-9be7-4d0377db9193"",""src-cfc0a898-c7ae-54e8-97bb-882b6c6f7a11"",""src-3b1cbfba-c98a-5b78-8640-0d4cb6dd98f8"",""src-b24302b4-54df-5583-8d3c-25f478a03b14"",""src-96964402-39e0-5478-9954-16456be79900"",""src-5d54208b-210b-520e-933e-bde00467406b"",""src-c61567c4-0529-501b-a70d-cad332790e79""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-2:template-9mu2p0","6","[""cand-1e7b57ad-47c2-5efb-bc87-e34366110b45"",""cand-51811e74-37fc-5336-8460-b9765db15ec8"",""cand-74eb59aa-1b3c-5f5d-af2a-28a563d6610c"",""cand-b17c26d4-017b-5f58-8715-0b8ed989076c"",""cand-b9148ac8-6eaa-55a5-a9f0-664b423918a0"",""cand-e810c1a0-8e44-55cf-8937-839679f9ded0""]","[""src-a0346001-9523-508e-aa10-1917e99e5b37"",""src-b2d49404-619b-5b1a-8b3f-4b5643261b2b"",""src-d5342f5e-d7ce-50ec-9614-7e9ee8275e80"",""src-3ec969e3-17c5-5f8d-b960-a21d29c94c2d"",""src-64b01dc4-8048-5194-b054-832d76043ed6"",""src-6d9736bb-a7a1-5c53-a12b-4f598f61a637""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-3:template-s5k4np","2","[""cand-d5ae966e-89fc-5d9d-8079-649edc652474"",""cand-f5d7a091-2222-5f3d-936b-edc2e9fda443""]","[""src-495f5480-1eca-50ec-be02-ae5153aae104"",""src-612c5a92-ba50-58d8-b286-b2ff1ff83ee3""]","MATHEMATICAL_REVIEW_REQUIRED"
