candidateId,courseId,field,rawValue,reason
"cand-8a6a0c68-8d28-563e-86f2-4dbe7efa25b9","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-7a3c6615-1df0-5a03-8343-871076b028d5","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-e807d64d-2258-54dc-9df8-aeb228fd5674","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-840e2694-f2f0-56ea-9027-38e1a398cdf2","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-0f2ee517-411b-5c7f-86e9-07d2c0a9cd9c","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-a41aaf5b-d0ef-5702-aa15-d1ed4cb0f341","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-469339b8-75a2-5ac7-86c7-a34e675652a9","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-f3e932e2-1ecc-5766-bb1c-f88e5ffd6b1e","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-9acad28b-a009-503c-9029-4cf5377717da","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-e8bf4a98-aa6c-5918-9f58-d4f56819ca4a","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-98782be0-af2e-5e11-be1f-847f3647e5cd","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-6f2ce3de-1227-5778-aab1-d452c1d44f78","1bach-mates","block","sin-determinar","UNMAPPED_BLOCK"
"cand-4e3ab6ea-92eb-58de-a2ae-b0681a730d5c","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-e78d10cc-8030-59e2-8e4a-c66364f3f11c","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-ee6cd0db-8488-5162-b7fb-aabf72dea236","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-6e9eff9e-2d7c-5d0e-bb39-04720743e12f","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-983a76a6-3ee9-5981-91c7-3344f6f85197","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-130ddce3-321b-5470-911b-39219dd62bf4","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-3f1f70a2-9fee-5859-a67e-08c5206c53e2","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-5a4bb696-075a-5d46-bf5d-7c97a6ded376","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-d3b35e6b-6d08-590b-a799-bbb399e1f420","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-38684f09-3204-5fcb-8e21-1d231e6be89f","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-718caa4e-94e8-5ca3-9129-f316eb4faae2","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-2a47109d-fda6-5bbb-806e-7639586581b5","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-fbc9b80f-7f6f-5fa0-a1d7-3240002527c2","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-fd8423a7-1d71-5261-af45-c0f22fac9223","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-116c7154-5235-5c92-aa27-1bef2dc296cb","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-e5f68656-30a0-5a2c-8ee0-a4827ae91c6a","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-2585d388-a359-5dfe-92fb-0d0383b15cce","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-42505896-add3-57c0-8b7a-44bf408232d8","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-7e84ccf7-ec4d-5a5f-9f77-4bc6acea6ad4","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-0e914741-094d-5751-be3c-99cda6fbf5b8","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-59f04730-0f63-5d35-a264-51d44ea1d687","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-3a630485-194c-54a7-95c3-0fe8b32feac1","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-d4eea943-2d92-5621-ba02-8b1dad77102a","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-67413e2b-0347-52db-baca-7c7f0a2a65f0","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-51811e74-37fc-5336-8460-b9765db15ec8","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-4a61b33d-ea8d-59b9-9f72-95bfc77c3662","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-1e7b57ad-47c2-5efb-bc87-e34366110b45","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-f425ede5-feab-5b49-b2f3-eca592456560","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-be1f7a6b-bf95-5956-ac55-efe1fd459e85","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-74a2dc28-329d-5e7f-b5c3-00f80b762122","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-b9f85f19-2e5f-5cd8-9ab8-1c451adc9020","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-c303040c-6562-5da5-9fc4-295128f8d9f0","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-c1d5203a-ed92-5de0-95fd-741bdcad4af0","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-060e1cc0-9e12-577d-bc71-fc33a41d9512","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-a0ad9167-87b3-577a-8fac-76903ec0f9e7","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
"cand-e810c1a0-8e44-55cf-8937-839679f9ded0","1bach-ccss","block","sin-determinar","UNMAPPED_BLOCK"
