"key","total","SEGMENTATION_OK","EXAM_INSTRUCTION_ATTACHED","DUPLICATED_HEADER","MULTIPLE_EXERCISES_MERGED","EXERCISE_INCORRECTLY_SPLIT","SUBPART_STRUCTURE_ERROR","SOURCE_TEXT_CORRUPTION","MATH_NOTATION_CORRUPTION","DOCUMENT_REVIEW_REQUIRED"
"CCSS II|Castilla-La Mancha|2008|","8","0","1","2","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2008|Junio/ordinaria","4","0","1","1","0","0","4","0","0","4"
"CCSS II|Castilla-La Mancha|2008|Septiembre","4","0","0","1","0","0","4","0","0","4"
"CCSS II|Castilla-La Mancha|2009|","8","0","0","0","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2009|Junio/ordinaria","4","0","0","0","0","0","4","0","0","4"
"CCSS II|Castilla-La Mancha|2009|Septiembre","5","1","0","0","0","0","4","0","0","5"
"CCSS II|Castilla-La Mancha|2010|","15","1","0","9","0","0","14","1","0","15"
"CCSS II|Castilla-La Mancha|2010|Junio/ordinaria","7","0","1","4","0","0","7","0","0","7"
"CCSS II|Castilla-La Mancha|2010|Septiembre","7","0","0","4","0","0","7","0","0","7"
"CCSS II|Castilla-La Mancha|2012|","8","0","0","8","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2012|Junio/ordinaria","4","0","0","4","0","0","4","0","0","4"
"CCSS II|Castilla-La Mancha|2012|Septiembre","4","0","0","4","0","0","4","0","0","4"
"CCSS II|Castilla-La Mancha|2013|","16","0","0","9","0","0","16","0","0","16"
"CCSS II|Castilla-La Mancha|2013|Junio/ordinaria","8","0","0","3","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2013|Septiembre","8","0","0","4","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2014|Junio/ordinaria","8","0","0","2","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2014|Septiembre","8","0","1","5","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2015|Junio/ordinaria","8","0","0","5","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2015|Septiembre","8","0","0","4","0","0","8","0","0","8"
"CCSS II|Castilla-La Mancha|2016|Junio/ordinaria","12","0","0","9","0","0","12","0","0","12"
"CCSS II|Castilla-La Mancha|2016|Septiembre","12","0","1","8","0","0","12","0","0","12"
"CCSS II|Castilla-La Mancha|2017|Junio/ordinaria","12","0","0","6","0","0","12","0","0","12"
